,Image,Latitude,Longitude,Altitude
0,./workspace/images/test/DJI_0026.JPG,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",126.0
1,./workspace/images/test/DJI_0027.JPG,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)",126.0
